aenet generator outfile loaded : 143.79 sec
  167 high energy Structures are excluded
aenet writer /home/jhyang/Downloads/aenet/tests/GEN_07_with_PyCrystal/PyBPDSA.train.07.scaled
aenet generator outfile is written : 127.30 sec
 Structure Dataset initialized : 3.69 sec

         Training set                   |   Validation set                
 Epoch   MAE             RMSE           |   MAE             RMSE          
     0   6.993249e+01    9.279269e+01   |   7.109639e+01    9.460398e+01
   500   2.354695e+01    2.961855e+01   |   2.480862e+01    3.070404e+01
  1000   1.122161e+01    1.420575e+01   |   1.282509e+01    1.631029e+01
  1500   4.898922e+00    6.882488e+00   |   7.411597e+00    9.873670e+00
  2000   5.057027e+00    6.693828e+00   |   7.142691e+00    9.354972e+00
  2500   3.757131e+00    5.126484e+00   |   5.887900e+00    7.788608e+00
  3000   5.079457e+00    6.407204e+00   |   6.515855e+00    8.348813e+00
  3500   5.134841e+00    6.493301e+00   |   6.544781e+00    8.295685e+00
  4000   4.096682e+00    5.024803e+00   |   5.287772e+00    6.787229e+00
  4500   5.191834e+00    6.605200e+00   |   6.207932e+00    7.994885e+00
  5000   3.009273e+00    3.741875e+00   |   4.244900e+00    5.516502e+00
  5500   1.669593e+00    2.319156e+00   |   3.317452e+00    4.471822e+00
  6000   2.034902e+00    2.625577e+00   |   3.307667e+00    4.376003e+00
  6500   3.715773e+00    4.418791e+00   |   4.381987e+00    5.587861e+00
  7000   1.786913e+00    2.256339e+00   |   2.896606e+00    3.838398e+00
  7500   3.593311e+00    4.462125e+00   |   4.166275e+00    5.285032e+00
  8000   1.880752e+00    2.382144e+00   |   2.741024e+00    3.603942e+00
  8500   1.468287e+00    1.877339e+00   |   2.332961e+00    3.104798e+00
  9000   1.008612e+00    1.314260e+00   |   1.969615e+00    2.655815e+00
  9500   1.692874e+00    2.030696e+00   |   2.280498e+00    2.956492e+00
 10000   1.432763e+00    1.739966e+00   |   2.023684e+00    2.611500e+00
 10500   7.057350e-01    9.381503e-01   |   1.518889e+00    2.086749e+00
 11000   7.514470e-01    9.720537e-01   |   1.444479e+00    1.979957e+00
 11500   5.858805e-01    7.854313e-01   |   1.284026e+00    1.789674e+00
